央    视,#genre#
海南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226212/index.m3u8?fmt=ts2hls$8M#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225722/index.m3u8
四川卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225733/index.m3u8$3.5M
山西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225730/index.m3u8
贵州卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225728/index.m3u8
青海卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225727/index.m3u8
陕西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225729/index.m3u8
内蒙古卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225667/index.m3u8$3.5M
新疆卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225725/index.m3u8
兵团卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226200/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225879/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225530/10000100000000060000000000000079_0.smil/index.m3u8?fmt=ts2hls
河北卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225732/index.m3u8
延边卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226200/index.m3u8
厦门卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226199/index.m3u8$4M
大湾区卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226203/index.m3u8
农林卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226204/index.m3u8
数字电视,#genre#
北京纪实科教,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225676/index.m3u8$8M
上海纪实人文,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225655/index.m3u8$8M
中国交通,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225877/index.m3u8
金鹰纪实,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226198/index.m3u8
